rank,symbol,name,market_cap_display
127,TSG,Tsogo Sun Limited,7.34B
128,DIB,Dipula Properties Limited,7.27B
129,SPG,Super Group Limited,7.14B
130,KAP,KAP Limited,6.60B
131,LSK,Lesaka Technologies Inc.,6.58B
132,EMI,Emira Property Fund Limited,6.24B
133,EXP,Exemplar REITail Limited,6.07B
134,GTC,Globe Trade Centre S.A.,5.79B
135,WVR,Weaver Fintech Ltd,5.61B
136,HDC,Hudaco Industries Limited,5.34B
137,RBO,Rainbow Chicken Limited,5.29B
138,SEA,Spear Reit Limited,5.29B
139,FBR,Famous Brands Limited,5.29B
140,SBP,Sabvest Capital Limited,5.19B
141,SYG,Sygnia Limited,4.94B
142,OCT,Octodec Investments Limited,4.66B
143,LEW,Lewis Group Limited,4.24B
144,CAT,Caxton and CTP Publishers and Printers Limited,4.21B
145,AFT,Afrimat Limited,4.14B
146,MKR,Montauk Renewables Inc.,4.12B
147,OAO,Oando PLC,4.06B
148,BEL,Bell Equipment Limited,3.73B
149,NPK,Nampak Limited,3.71B
150,CPP,Collins Property Group Limited,3.70B
151,KP2,Kore Potash plc,3.67B
152,KAL,KAL Group Limited,3.54B
153,YYLBEE,YeboYethu (RF) Limited,3.44B
154,MRF,Merafe Resources Limited,3.35B
155,CHP,Choppies Enterprises Limited,3.32B
156,SUR,Spur Corporation Ltd,3.30B
157,IVT,Invicta Holdings Limited,3.19B
158,ZZD,Zeda Limited,2.92B
159,CMH,Combined Motor Holdings Limited,2.87B
160,AII,Aimia Inc.,2.87B
161,PPE,Purple Group Limited,2.74B
162,SDL,Southern Palladium Limited,2.69B
163,SHG,Sea Harvest Group Limited,2.66B
164,IOC,iOCO Limited,2.57B
165,MCZ,MC Mining Limited,2.56B
166,MPT,Mpact Limited,2.53B
167,LBR,Libstar Holdings Limited,2.49B
168,CLH,City Lodge Hotels Limited,2.48B
169,CSB,Cashbuild Limited,2.43B
170,MDI,Master Drilling Group Limited,2.41B
171,ORN,Orion Minerals Limited,2.35B
172,ACS,Acsion Limited,2.34B
173,ART,Argent Industrial Limited,2.12B
174,AXX,Araxi Limited,2.07B
175,ACL,ArcelorMittal South Africa Limited,2.02B
176,BWN,Balwin Properties Limited,1.99B
177,NVS,Novus Holdings Limited,1.96B
178,FTH,Frontier Transport Holdings Limited,1.92B
179,OAS,Oasis Crescent Property Fund,1.92B
180,SCD,Schroder European Real Estate Investment Trust Plc,1.84B
181,JBL,Jubilee Metals Group PLC,1.76B
